YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1885	2	20	C	499	I	7	10	4	-1	37N 0	15E30	SR	SIRACUSA
1885	3	1	C	284	I	17	10	4	-1	45N12	11E 0	CR	CREMONA
1885	3	14	C	194	F	16	47	40	0	45N47	3E 5	63	CHAMALIERES
1885	3	23	C	192	F	0	25	56	0	47N40	2W44	56	LORIENT
1885	4	8	C	317	I	22	10	4	-1	44N30	11E 0	BO	BOLOGNA
1885	6	4	C	934	I	5	10	4	-1	44N54	8E30	AT	ASTI
1885	9	4	C	249	I	4	20	4	-1	43N42	8E 0	IM	CIPRESSA
1885	9	11	C	1867	F	7	21	40	0	49N26	2E 5	60	BEAUVAIS
1885	9	16	C	831	F	17	42	32	0	48N57	4E22	51	REIMS
1885	9	18	C	1848	F	21	44	28	0	43N37	3E53	34	BEZIERS
1885	10	7	C	333	I	22	10	4	-1	40N54	14E 0	NA	NAPOLI
1885	10	25	C	2035	F	8	19	20	0	48N33	2E40	77	MORET
1885	11	10	C	390	I	19	10	4	-1	41N54	12E30	RM	ROMA
1885	12	15	C	1095	B	7	45	0	0	51N 5	3E45	OVL	BELSELE-WAAS
1886	1	19	C	266	I	13	10	4	-1	37N12	13E30	AG	SCIACCA
1886	2	19	C	325	I	1	40	4	-1	45N 0	8E 0	TO	TORINO
1886	3	4	C	278	I	16	10	4	-1	44N12	12E30	FO	FORLI
1886	3	4	C	279	I	19	10	4	-1	44N36	10E45	RE	REGGIO EMILIA
1886	3	10	C	203	F	17	50	40	0	48N50	2E20	75	PARIS 13E
1886	3	25	C	1682	B	5	47	0	0	51N13	3E15	WVL	BRUGES
1886	4	7	C	444	I	4	10	4	-1	45N24	8E30	VC	MOTTA DEI CONTI
1886	7	3	C	294	I	12	10	4	-1	46N 0	12E 0	TN	ARCO
1886	7	12	C	267	I	1	25	4	-1	42N24	12E 0	VT	SORIANONELCIMIN
1886	7	25	C	373	I	16	10	4	-1	43N42	11E30	FI	FIRENZE
1886	9	3	C	491	I	6	40	4	-1	44N24	9E 0	GE	GENOVA
1886	9	27	C	1236	F	6	48	56	0	50N18	2E46	62	ARRAS
1886	10	24	C	495	I	5	10	4	-1	42N24	13E15	RI	RIETI
1886	10	26	C	291	I	9	10	4	-1	45N24	11E 0	VR	VERONA
1886	11	5	C	200	F	9	42	36	0	43N51	4E21	30	ST CHAPTES
1886	11	10	C	385	I	12	10	4	-1	38N 0	15E30	ME	SAGATAMILITELLO
1886	11	19	C	1098	B	16	47	0	0	51N13	3E15	WVL	LEDEGEM
1886	12	12	C	2044	F	8	57	36	0	44N50	0W34	33	BORDEAUX
1887	1	1	C	436	I	7	10	4	-1	43N42	11E30	FI	FIRENZE
1887	1	4	C	488	I	5	10	4	-1	41N12	17E 0	BA	BARI
1887	2	9	C	1961	F	12	59	40	0	43N14	0E 5	65	LUZ-ST-SAUV
1887	3	2	C	395	I	9	40	4	-1	44N54	8E30	AT	CASTAGNOLEMONFE
1887	3	4	C	779	F	4	51	16	0	48N50	2E11	92	NEUILLY-S-SEINE
1887	3	5	C	1152	B	18	47	0	0	51N13	3E15	WVL	PITTEM
1887	3	19	C	465	I	16	10	4	-1	45N 0	8E 0	TO	TORINO
1887	4	12	C	308	I	12	10	4	-1	45N12	11E 0	MN	SUZZARA
1887	5	4	C	357	I	14	10	4	-1	40N54	14E 0	NA	NAPOLI
1887	5	17	C	217	F	2	40	56	0	47N40	2W44	56	LORIENT
1887	5	27	C	1950	F	23	10	40	0	45N46	4E50	69	NEUVILLE-S/SAON
1887	6	8	C	269	I	8	15	4	-1	40N30	17E30	TA	TARANTO
1887	6	16	C	424	I	7	10	4	-1	42N24	13E15	RI	RIETI
1887	7	12	C	2031	F	6	2	0	0	43N54	0W30	40	STE-COLOMBE
1887	8	11	C	374	I	3	10	4	-1	39N 0	17E30	CZ	CATANZARO
1887	8	13	C	307	I	12	10	4	-1	45N36	9E45	BG	CALCINATE
1887	9	24	C	271	I	1	10	4	-1	41N54	12E30	RM	ROMA
1887	10	22	C	356	I	3	25	4	-1	45N30	9E15	MI	MILANO
1887	11	22	C	102	I	11	40	4	-1	45N 0	8E 0	TO	TORINO
1887	11	26	C	1669	B	0	47	0	0	51N13	3E15	WVL	BRUGES
1888	1	1	C	215	F	20	55	40	0	49N26	1E 5	76	BRACQUEMONT
1888	1	9	C	998	B	23	38	0	0	50N39	5E30	LIE	SOUMAGNE-LES-VE
1888	2	11	C	322	I	18	40	4	-1	45N30	9E15	MI	MILANO
1888	2	25	C	880	F	21	51	16	0	48N50	2E11	92	PUTEAUX
1888	3	5	C	62	F	16	1	28	0	43N18	0W22	64	BIZANOS
1888	3	17	C	276	I	1	10	4	-1	43N42	8E 0	IM	PORTOMAURIZIO
1888	3	17	C	1718	F	11	50	40	0	48N50	2E20	75	PARIS 3E
1888	3	19	C	1134	B	5	42	0	0	50N20	4E30	NAM	FLORENNES
1888	3	28	C	454	I	15	10	4	-1	43N24	13E15	MC	CINGOLI
1888	4	1	C	771	F	6	47	40	0	50N39	3E 5	59	ROUBAIX
1888	4	3	C	305	I	4	20	4	-1	46N12	10E 0	SO	GROSSOTTODILOME
1888	5	9	C	262	I	16	40	4	-1	44N24	12E15	RA	LUGODIROMAGNA
1888	5	10	C	310	I	23	10	4	-1	43N42	11E30	FI	FIESOLE
1888	5	10	C	487	I	6	55	4	-1	44N30	11E 0	BO	CASTEL SANPIETR
1888	5	21	C	110	I	2	40	4	-1	45N 0	8E 0	TO	TORINO
1888	5	29	C	417	I	7	10	4	-1	42N18	14E15	CH	FRANCAVILLAALMA
1888	7	3	C	1310	F	2	44	28	0	43N37	3E53	34	SETE
1888	7	7	C	1103	B	23	42	0	0	50N23	4E30	HAI	WAALSCHE PAR BO
1888	7	19	C	492	I	15	50	4	-1	44N18	8E45	SV	SAVONA
1888	7	26	C	418	I	19	50	4	-1	44N24	9E 0	GE	GENOVA
1888	7	28	C	343	I	4	25	4	-1	45N30	9E15	MI	MILANO
1888	7	31	C	1861	F	11	53	40	0	42N58	1E35	09	ST-GIRONS
1888	8	3	C	1108	B	3	45	0	0	51N 5	3E45	OVL	NAZARETH
1888	8	28	C	441	I	12	10	4	-1	44N30	11E 0	BO	BOLOGNA
1888	9	13	C	190	F	3	59	40	0	48N26	0E 5	61	GLOS-LA-FERR
1888	9	15	C	99	I	1	10	4	-1	45N24	11E 0	VR	SORGA
1888	9	21	C	306	I	13	40	4	-1	45N30	12E 0	VI	CALDOGNODIVINCE
1888	10	4	C	155	F	3	13	16	0	46N49	1E41	36	ISSOUDUN
1888	10	9	C	384	I	9	10	4	-1	44N 0	10E15	SP	SARZANA
1888	10	16	C	1091	B	19	42	0	0	50N20	4E30	NAM	MORIALME
1888	10	29	C	401	I	19	10	4	-1	45N 0	9E45	PC	PIACENZA
1888	11	5	C	1143	B	11	42	0	0	51N14	4E30	ANT	MECHELEN
